,state,outcome,metric,value
0,1,pd,accuracy,0.43047619047619046
1,1,pd,auc_micro,0.8041834271922768
2,1,pd,auc_mean,0.6525765849520405
3,1,pd,auc_weighted,0.6850958850790949
4,1,nd,accuracy,0.3333333333333333
5,1,nd,auc_micro,0.8510056315366049
6,1,nd,auc_mean,0.4717174695063846
7,1,nd,auc_weighted,0.5248356203544883
8,1,mod,accuracy,0.3333333333333333
9,1,mod,auc_micro,0.8510056315366049
10,1,mod,auc_mean,0.4717174695063846
11,1,mod,auc_weighted,0.5248356203544883
12,1,DLT_Other,accuracy,0.9464285714285714
13,1,DLT_Dermatological,accuracy,0.8928571428571429
14,1,DLT_Neurological,accuracy,0.9107142857142857
15,1,DLT_Hematological,accuracy,0.7857142857142857
16,1,DLT_Gastrointestinal,accuracy,0.8035714285714286
17,1,dlts,accuracy_mean,0.8678571428571429
18,1,DLT_Other,auc,0.3333333333333333
19,1,DLT_Dermatological,auc,0.3666666666666666
20,1,DLT_Neurological,auc,0.5803921568627451
21,1,DLT_Hematological,auc,0.5871212121212122
22,1,DLT_Gastrointestinal,auc,0.5171717171717172
23,1,dlts,auc_mean,0.47693701723113485
24,2,pd,accuracy,0.3333333333333333
25,2,pd,auc_micro,0.8964412644968199
26,2,pd,auc_mean,0.6017748885250342
27,2,pd,auc_weighted,0.6031484584267578
28,2,nd,accuracy,0.3535864978902954
29,2,nd,auc_micro,0.7474940898345154
30,2,nd,auc_mean,0.459648617858051
31,2,nd,auc_weighted,0.506832500637638
32,2,mod,accuracy,0.3535864978902954
33,2,mod,auc_micro,0.7474940898345154
34,2,mod,auc_mean,0.459648617858051
35,2,mod,auc_weighted,0.506832500637638
36,2,DLT_Other,accuracy,0.9795918367346939
37,2,DLT_Dermatological,accuracy,0.9659863945578231
38,2,DLT_Neurological,accuracy,0.9659863945578231
39,2,DLT_Hematological,accuracy,0.9523809523809523
40,2,DLT_Gastrointestinal,accuracy,0.9183673469387755
41,2,dlts,accuracy_mean,0.9564625850340136
42,2,DLT_Other,auc,0.7083333333333334
43,2,DLT_Dermatological,auc,0.6535211267605634
44,2,DLT_Neurological,auc,0.4887323943661972
45,2,DLT_Hematological,auc,0.6704081632653062
46,2,DLT_Gastrointestinal,auc,0.5864197530864197
47,2,dlts,auc_mean,0.621482954162364
48,3,Overall Survival (4 Years),accuracy,0.891156462585034
49,3,Overall Survival (4 Years),mse,0.11019116640090942
50,3,Overall Survival (4 Years),auc,0.4856870229007634
51,3,Overall Survival (4 Years),precision,0.891156462585034
52,3,Overall Survival (4 Years),recall,1.0
53,3,Overall Survival (4 Years),f1,0.9424460431654677
54,3,FT,accuracy,0.8027210884353742
55,3,FT,mse,0.15982341766357422
56,3,FT,auc,0.6801630434782608
57,3,FT,precision,0.6666666666666666
58,3,FT,recall,0.1875
59,3,FT,f1,0.2926829268292683
60,3,Aspiration rate Post-therapy,accuracy,0.8163265306122449
61,3,Aspiration rate Post-therapy,mse,0.12325138598680496
62,3,Aspiration rate Post-therapy,auc,0.8013350286077559
63,3,Aspiration rate Post-therapy,precision,0.42857142857142855
64,3,Aspiration rate Post-therapy,recall,0.11538461538461539
65,3,Aspiration rate Post-therapy,f1,0.18181818181818182
66,3,LRC,accuracy,0.8979591836734694
67,3,LRC,mse,0.11458941549062729
68,3,LRC,auc,0.5808080808080809
69,3,LRC,precision,0.8979591836734694
70,3,LRC,recall,1.0
71,3,LRC,f1,0.946236559139785
